ore_name	reg_name	damage	display_name
basalt	gregtech:gt.blockstones	12	Cracked Basalt Bricks
basalt	gregtech:gt.blockstones	13	Mossy Basalt Bricks
basalt	gregtech:gt.blockstones	14	Chiseled Basalt
basalt	gregtech:gt.blockstones	15	Smooth Basalt
batteryAdvanced	IC2:itemBatCrystal	32767	Energy Crystal
batteryBasic	IC2:itemBatREDischarged	0	RE-Battery
batteryBasic	IC2:itemBatRE	32767	RE-Battery
batteryData	IC2:itemBatLamaCrystal	32767	Lapotron Crystal
batteryERV	gregtech:gt.metaitem.01	32146	Mega Ultimate Battery
batteryEV	gregtech:gt.metaitem.01	32540	Small Sunnarium Battery
batteryElite	gregtech:gt.metaitem.01	32597	Lapotronic Energy Orb
batteryGood	IC2:itemAdvBat	32767	Advanced RE-Battery
batteryHV	gregtech:gt.metaitem.01	32530	Large Acid Battery
batteryHV	gregtech:gt.metaitem.01	32531	Large Mercury Battery
batteryHV	gregtech:gt.metaitem.01	32537	Large Cadmium Battery
batteryHV	gregtech:gt.metaitem.01	32538	Large Lithium Battery
batteryHV	gregtech:gt.metaitem.01	32539	Large Sodium Battery
batteryIV	gregtech:gt.metaitem.01	32545	Medium Sunnarium Battery
batteryLV	gregtech:gt.metaitem.01	32510	Small Acid Battery
batteryLV	gregtech:gt.metaitem.01	32517	Small Cadmium Battery
batteryLV	gregtech:gt.metaitem.01	32518	Small Lithium Battery
batteryLV	gregtech:gt.metaitem.01	32519	Small Sodium Battery
batteryLuV	gregtech:gt.metaitem.01	32550	Large Sunnarium Battery
batteryMAX	gregtech:gt.metaitem.01	32145	Insanely Ultimate Battery
batteryMV	gregtech:gt.metaitem.01	32520	Medium Acid Battery
batteryMV	gregtech:gt.metaitem.01	32521	Medium Mercury Battery
batteryMV	gregtech:gt.metaitem.01	32527	Medium Cadmium Battery
batteryMV	gregtech:gt.metaitem.01	32528	Medium Lithium Battery
batteryMV	gregtech:gt.metaitem.01	32529	Medium Sodium Battery
batteryMaster	gregtech:gt.metaitem.01	32599	Lapotronic Energy Orb Cluster
batterySuperconductor	gregtech:gt.metaitem.01	32737	Energy Cluster
batteryUEV	gregtech:gt.metaitem.01	32575	Medium Neutronium Battery
batteryUHV	gregtech:gt.metaitem.01	32570	Small Neutronium Battery
batteryUIV	gregtech:gt.metaitem.01	32580	Large Neutronium Battery
batteryULV	gregtech:gt.metaitem.01	32499	Tantalum Capacitor
batteryUMV	gregtech:gt.metaitem.01	32609	Really Ultimate Battery
batteryUMV	gregtech:gt.metaitem.01	32585	Medium Infinity Battery
batteryUV	gregtech:gt.metaitem.01	32605	Ultimate Battery
batteryUV	gregtech:gt.metaitem.01	32560	Large Naquadria Battery
batteryUXV	gregtech:gt.metaitem.01	32594	Extremely Ultimate Battery
batteryUXV	gregtech:gt.metaitem.01	32590	Large Infinity Battery
batteryUltimate	gregtech:gt.metaitem.01	32736	Energy Module
batteryZPM	gregtech:gt.metaitem.01	32598	Zero Point Module
batteryZPM	gregtech:gt.metaitem.01	32555	Medium Naquadria Battery
bedWood	minecraft:bed	0	Red Bed
bedWood	etfuturum:white_bed	0	White Bed
bedWood	etfuturum:orange_bed	0	Orange Bed
bedWood	etfuturum:magenta_bed	0	Magenta Bed
bedWood	etfuturum:light_blue_bed	0	Light Blue Bed
bedWood	etfuturum:yellow_bed	0	Yellow Bed
bedWood	etfuturum:lime_bed	0	Lime Bed
bedWood	etfuturum:pink_bed	0	Pink Bed
bedWood	etfuturum:gray_bed	0	Gray Bed
bedWood	etfuturum:light_gray_bed	0	Light Gray Bed
bedWood	etfuturum:cyan_bed	0	Cyan Bed
bedWood	etfuturum:purple_bed	0	Purple Bed
bedWood	etfuturum:blue_bed	0	Blue Bed
bedWood	etfuturum:brown_bed	0	Brown Bed
bedWood	etfuturum:green_bed	0	Green Bed
bedWood	etfuturum:black_bed	0	Black Bed
beeComb	Forestry:beeCombs	32767	
beeComb	MagicBees:comb	0	Mundane Comb
beeComb	ExtraBees:honeyComb	32767	Barren Comb
beeComb	gregtech:gt.comb	0	Lignite Comb
beeComb	gregtech:gt.comb	1	Coal Comb
beeComb	gregtech:gt.comb	2	Sticky Resin Comb
beeComb	gregtech:gt.comb	3	Oil Comb
beeComb	gregtech:gt.comb	4	Apatite Comb
beeComb	gregtech:gt.comb	5	Ash Comb
beeComb	gregtech:gt.comb	6	Coolant Comb
beeComb	gregtech:gt.comb	7	Energy Comb
beeComb	gregtech:gt.comb	8	Lapotron Comb
beeComb	gregtech:gt.comb	9	Pyrotheum Comb
beeComb	gregtech:gt.comb	10	Cryotheum Comb
beeComb	gregtech:gt.comb	11	Red Alloy Comb
beeComb	gregtech:gt.comb	12	Redstone Alloy Comb
beeComb	gregtech:gt.comb	13	Conductive Iron Comb
beeComb	gregtech:gt.comb	14	Vibrant Alloy Comb
beeComb	gregtech:gt.comb	15	Energetic Alloy Comb
beeComb	gregtech:gt.comb	16	Electrical Steel Comb
beeComb	gregtech:gt.comb	17	Dark Steel Comb
beeComb	gregtech:gt.comb	18	Pulsating Iron Comb
beeComb	gregtech:gt.comb	19	Stainless Steel Comb
beeComb	gregtech:gt.comb	20	Enderium Comb
beeComb	gregtech:gt.comb	21	Thaumium Dust Comb
beeComb	gregtech:gt.comb	22	Thaumium Shard Comb
beeComb	gregtech:gt.comb	23	Amber Comb
beeComb	gregtech:gt.comb	24	Quicksilver Comb
beeComb	gregtech:gt.comb	25	Salis Mundus Comb
beeComb	gregtech:gt.comb	26	Tainted Comb
beeComb	gregtech:gt.comb	27	Mithril Comb
beeComb	gregtech:gt.comb	28	Astral Silver Comb
beeComb	gregtech:gt.comb	29	Thauminite Comb
beeComb	gregtech:gt.comb	30	Shadow Metal Comb
beeComb	gregtech:gt.comb	31	Divided Comb
beeComb	gregtech:gt.comb	32	Nether Star Comb
beeComb	gregtech:gt.comb	33	Stone Comb
beeComb	gregtech:gt.comb	34	Certus Comb
beeComb	gregtech:gt.comb	35	Fluix Comb
beeComb	gregtech:gt.comb	36	Redstone Comb
beeComb	gregtech:gt.comb	37	Rare Earth Comb
beeComb	gregtech:gt.comb	38	Lapis Comb
beeComb	gregtech:gt.comb	39	Ruby Comb
beeComb	gregtech:gt.comb	40	Red Garnet Comb
beeComb	gregtech:gt.comb	41	Yellow Garnet Comb
beeComb	gregtech:gt.comb	42	Sapphire Comb
beeComb	gregtech:gt.comb	43	Diamond Comb
beeComb	gregtech:gt.comb	44	Olivine Comb
beeComb	gregtech:gt.comb	45	Emerald Comb
beeComb	gregtech:gt.comb	46	Pyrope Comb
beeComb	gregtech:gt.comb	47	Grossular Comb
beeComb	gregtech:gt.comb	48	Firestone Comb
beeComb	gregtech:gt.comb	49	Slag Comb
beeComb	gregtech:gt.comb	50	Copper Comb
beeComb	gregtech:gt.comb	51	Tin Comb
beeComb	gregtech:gt.comb	52	Lead Comb
beeComb	gregtech:gt.comb	53	Iron Comb
beeComb	gregtech:gt.comb	54	Steel Comb
beeComb	gregtech:gt.comb	55	Nickel Comb
beeComb	gregtech:gt.comb	56	Zinc Comb
beeComb	gregtech:gt.comb	57	Silver Comb
beeComb	gregtech:gt.comb	58	Gold Comb
beeComb	gregtech:gt.comb	59	Sulfur Comb
beeComb	gregtech:gt.comb	60	Gallium Comb
beeComb	gregtech:gt.comb	61	Arsenic Comb
beeComb	gregtech:gt.comb	62	Bauxite Comb
beeComb	gregtech:gt.comb	63	Aluminium Comb
beeComb	gregtech:gt.comb	64	Manganese Comb
beeComb	gregtech:gt.comb	65	Magnesium Comb
beeComb	gregtech:gt.comb	66	Titanium Comb
beeComb	gregtech:gt.comb	67	Chrome Comb
beeComb	gregtech:gt.comb	68	Tungsten Comb
beeComb	gregtech:gt.comb	69	Platinum Comb
beeComb	gregtech:gt.comb	70	Iridium Comb
beeComb	gregtech:gt.comb	71	Molybdenum Comb
beeComb	gregtech:gt.comb	72	Osmium Comb
beeComb	gregtech:gt.comb	73	Lithium Comb
beeComb	gregtech:gt.comb	74	Salt Comb
beeComb	gregtech:gt.comb	75	Electrotine Comb
beeComb	gregtech:gt.comb	76	Almandine Comb
beeComb	gregtech:gt.comb	77	Uranium Comb
beeComb	gregtech:gt.comb	78	Plutonium Comb
beeComb	gregtech:gt.comb	79	Naquadah Comb
beeComb	gregtech:gt.comb	80	Naquadria Comb
beeComb	gregtech:gt.comb	81	D-o-b Comb
beeComb	gregtech:gt.comb	82	Thorium Comb
beeComb	gregtech:gt.comb	83	Lutetium Comb
beeComb	gregtech:gt.comb	84	Americium Comb
beeComb	gregtech:gt.comb	85	Neutronium Comb
beeComb	gregtech:gt.comb	86	Naga Comb
beeComb	gregtech:gt.comb	87	Lich Comb
beeComb	gregtech:gt.comb	88	Hydra Comb
beeComb	gregtech:gt.comb	89	Ur Ghast Comb
beeComb	gregtech:gt.comb	90	Snow Queen Comb
beeComb	gregtech:gt.comb	91	Space Comb
beeComb	gregtech:gt.comb	92	Meteoric Iron Comb
beeComb	gregtech:gt.comb	93	Desh Comb
beeComb	gregtech:gt.comb	94	Ledox Comb
beeComb	gregtech:gt.comb	95	Callisto Ice Comb
beeComb	gregtech:gt.comb	96	Mytryl Comb
beeComb	gregtech:gt.comb	97	Quantium Comb
beeComb	gregtech:gt.comb	98	Oriharukon Comb
beeComb	gregtech:gt.comb	99	Mysterious Crystal Comb
beeComb	gregtech:gt.comb	100	Black Plutonium Comb
beeComb	gregtech:gt.comb	101	Trinium Comb
beeComb	gregtech:gt.comb	102	Mercury Comb
beeComb	gregtech:gt.comb	103	Venus Comb
beeComb	gregtech:gt.comb	104	Moon Comb
beeComb	gregtech:gt.comb	105	Mars Comb
beeComb	gregtech:gt.comb	106	Jupiter Comb
beeComb	gregtech:gt.comb	107	Saturn Comb
beeComb	gregtech:gt.comb	108	Uranus Comb
beeComb	gregtech:gt.comb	109	Neptune Comb
beeComb	gregtech:gt.comb	110	Pluto Comb
beeComb	gregtech:gt.comb	111	Haumea Comb
beeComb	gregtech:gt.comb	112	Makemake Comb
beeComb	gregtech:gt.comb	113	Centauri Comb
beeComb	gregtech:gt.comb	114	Tceti Comb
beeComb	gregtech:gt.comb	115	Barnarda Comb
beeComb	gregtech:gt.comb	116	Vega Comb
beeComb	gregtech:gt.comb	117	Cosmic Neutronium Comb
beeComb	gregtech:gt.comb	118	Infinity Catalyst Comb
beeComb	gregtech:gt.comb	119	Infinity Comb
beeComb	gregtech:gt.comb	120	End Dust Comb
beeComb	gregtech:gt.comb	121	Ectoplasma Comb
beeComb	gregtech:gt.comb	122	Arcane Shard Comb
beeComb	gregtech:gt.comb	123	Stardust Comb
beeComb	gregtech:gt.comb	124	Dragon Essence Comb
beeComb	gregtech:gt.comb	125	Enderman Comb
beeComb	gregtech:gt.comb	126	Silverfish Comb
beeComb	gregtech:gt.comb	127	Endium Comb
beeComb	gregtech:gt.comb	128	Rune Type 1 Comb
beeComb	gregtech:gt.comb	129	Rune Type 2 Comb
beeComb	gregtech:gt.comb	130	Fire Essence Comb
beeComb	gregtech:gt.comb	131	Cryolite Comb
beeComb	gregtech:gt.comb	132	Helium Comb
beeComb	gregtech:gt.comb	133	Argon Comb
beeComb	gregtech:gt.comb	134	Xenon Comb
beeComb	gregtech:gt.comb	135	Neon Comb
beeComb	gregtech:gt.comb	136	Krypton Comb
beeComb	gregtech:gt.comb	137	Nitrogen Comb
beeComb	gregtech:gt.comb	138	Oxygen Comb
beeComb	gregtech:gt.comb	139	Hydrogen Comb
beeComb	gregtech:gt.comb	140	Phosphorus Comb
beeComb	gregtech:gt.comb	141	Mica Comb
beeComb	gregtech:gt.comb	142	Seaweed Comb
beeComb	gregtech:gt.comb	143	Walrus Comb
beeComb	gregtech:gt.comb	144	Infused Air Comb
beeComb	gregtech:gt.comb	145	Infused Terra Comb
beeComb	gregtech:gt.comb	146	Infused Ignis Comb
beeComb	gregtech:gt.comb	147	Infused Aqua Comb
beeComb	gregtech:gt.comb	148	Infused Ordo Comb
beeComb	gregtech:gt.comb	149	Infused Perditio Comb
beeComb	gregtech:gt.comb	150	Fluorine Comb
beeComb	gregtech:gt.comb	151	Bedrockium Comb
beeComb	gregtech:gt.comb	152	Nether Shard Comb
beeComb	gregtech:gt.comb	153	Ender Shard Comb
beeComb	gregtech:gt.comb	154	Caelestis Red Comb
beeComb	gregtech:gt.comb	155	Caelestis Green Comb
beeComb	gregtech:gt.comb	156	Caelestis Blue Comb
beeComb	gregtech:gt.comb	157	Unknown Liquid Comb
beeComb	gregtech:gt.comb	158	Essentia Comb
beeComb	gregtech:gt.comb	159	Indium Comb
beeComb	gregtech:gt.comb	160	Blizz Comb
beeComb	gregtech:gt.comb	161	Kevlar Comb
beeComb	gregtech:gt.comb	162	Draconium Comb
beeComb	gregtech:gt.comb	163	Awakened Draconium Comb
beeComb	gregtech:gt.comb	164	Palladium Comb
beeComb	gregtech:gt.comb	165	Infused Gold Comb
beeComb	gregtech:gt.comb	166	Neodymium Comb
beeComb	gregtech:gt.comb	167	Europium Comb
beeComb	gregtech:gt.comb	168	Machinist Comb
beeComb	gregtech:gt.comb	169	Netherite Comb
beeComb	gregtech:gt.comb	170	Prismatic Comb
beeComb	gregtech:gt.comb	171	Refined Rare Earth Comb
beeComb	gregtech:gt.comb	172	Pyrite Comb
beeComb	gendustry:HoneyComb	0	invalid.name
beeComb	gendustry:HoneyComb	10	Black Colored Comb
beeComb	gendustry:HoneyComb	11	Red Colored Comb
beeComb	gendustry:HoneyComb	12	Green Colored Comb
beeComb	gendustry:HoneyComb	13	Brown Colored Comb
beeComb	gendustry:HoneyComb	14	Blue Colored Comb
beeComb	gendustry:HoneyComb	15	Purple Colored Comb
beeComb	gendustry:HoneyComb	16	Cyan Colored Comb
beeComb	gendustry:HoneyComb	17	Light Gray Colored Comb
beeComb	gendustry:HoneyComb	18	Gray Colored Comb
beeComb	gendustry:HoneyComb	19	Pink Colored Comb
beeComb	gendustry:HoneyComb	20	Lime Colored Comb
beeComb	gendustry:HoneyComb	21	Yellow Colored Comb
beeComb	gendustry:HoneyComb	22	Light Blue Colored Comb
beeComb	gendustry:HoneyComb	23	Magenta Colored Comb
beeComb	gendustry:HoneyComb	24	Orange Colored Comb
beeComb	gendustry:HoneyComb	25	White Colored Comb
beeComp	computronics:computronics.partsForestry	0	Caustic Comb
beeQueen	harvestcraft:queenbeeItem	0	Queen Bee
biomassBrownAlgae	miscutils:item.BasicAgrichemItem	2	Brown Algae Biomass
biomassGoldenBrownAlgae	miscutils:item.BasicAgrichemItem	3	Golden-Brown Algae Biomass
biomassGreenAlgae	miscutils:item.BasicAgrichemItem	1	Green Algae Biomass
biomassRedAlgae	miscutils:item.BasicAgrichemItem	4	Red Algae Biomass
blockAbyssalAlloy	miscutils:blockBlockAbyssalAlloy	0	Block of Abyssal Alloy
blockAdamantium	gregtech:gt.blockmetal1	0	Block of Adamantium
blockAdamantium	GalaxySpace:metalsblock	1	Decorative Adamantite Block
blockAdamantiumAlloy	bartworks:bw.werkstoffblocks.01	10085	Block of Adamantium Alloy
blockAdemicSteel	bartworks:bw.werkstoffblocks.01	96	Block of Ademic Steel
blockAdvancedNitinol	miscutils:blockBlockAdvancedNitinol	0	Block of Advanced Nitinol
blockAluminium	TConstruct:MetalBlock	6	Block of Aluminum
blockAluminium	GalacticraftCore:tile.gcBlockCore	11	Aluminum Block
blockAluminium	gregtech:gt.blockmetal1	1	Block of Aluminium
blockAluminiumBrass	TConstruct:MetalBlock	7	Block of Aluminum Brass
blockAluminum	TConstruct:MetalBlock	6	Block of Aluminum
blockAluminum	GalacticraftCore:tile.gcBlockCore	11	Aluminum Block
blockAluminumBrass	TConstruct:MetalBlock	7	Block of Aluminum Brass
blockAlumite	TConstruct:MetalBlock	8	Block of Obzinite
blockAmber	BiomesOPlenty:gemOre	15	Block of Amber
blockAmber	gregtech:gt.blockgem1	1	Block of Amber
blockAmber	Thaumcraft:blockCosmeticOpaque	0	Amber Block
blockAmericium	gregtech:gt.blockmetal1	2	Block of Americium
blockAmethyst	gregtech:gt.blockgem1	2	Block of Amethyst
blockAncientGranite	miscutils:blockBlockAncientGranite	0	Block of Ancient Granite
blockAndesite	chisel:andesite	0	Andesite
blockAnnealedCopper	gregtech:gt.blockmetal1	3	Block of Annealed Copper
blockAntimony	gregtech:gt.blockmetal1	4	Block of Antimony
blockAnyBronze	IC2:blockMetal	2	Bronze Block
blockAnyBronze	TConstruct:MetalBlock	4	Block of Bronze
blockAnyBronze	Forestry:resourceStorage	3	Block of Bronze
blockAnyBronze	gregtech:gt.blockmetal2	0	Block of Bronze
blockAnyCopper	IC2:blockMetal	0	Copper Block
blockAnyCopper	TConstruct:MetalBlock	3	Block of Copper
blockAnyCopper	GalacticraftCore:tile.gcBlockCore	9	Copper Block
blockAnyCopper	Forestry:resourceStorage	1	Block of Copper
blockAnyCopper	Railcraft:cube	9	Block of Copper
blockAnyCopper	gregtech:gt.blockmetal1	3	Block of Annealed Copper
blockAnyCopper	gregtech:gt.blockmetal2	7	Block of Copper
blockAnyCopper	ProjRed|Exploration:projectred.exploration.stone	8	Block of Copper
blockAnyCopper	GalaxySpace:metalsblock	9	Decorative Copper Block
blockAnyCopper	etfuturum:copper_block	0	Block of Copper
blockAnyIron	minecraft:iron_block	0	Block of Iron
blockAnyIron	gregtech:gt.blockmetal5	11	Block of Pig Iron
blockAnyIron	gregtech:gt.blockmetal8	2	Block of Wrought Iron
blockAnyIron	thaumicbases:oldIron	0	Ancient Iron Block
blockApatite	Forestry:resourceStorage	0	Block of Apatite
blockArcanite	miscutils:blockBlockArcanite	0	Block of Arcanite
blockArceusAlloy2B	miscutils:blockBlockArceusAlloy2B	0	Block of Arceus Alloy 2B
blockArdite	TConstruct:MetalBlock	1	Block of Ardite
blockArsenic	gregtech:gt.blockmetal1	5	Block of Arsenic
blockArtherium-Sn	bartworks:bw.werkstoffblocks.01	10102	Block of Artherium-Sn
blockAstralSilver	gregtech:gt.blockmetal1	6	Block of Astral Silver
blockAstralTitanium	miscutils:blockBlockAstralTitanium	0	Block of Astral Titanium
blockAtomicSeparationCatalyst	bartworks:bw.werkstoffblocks.01	10022	Block of Atomic Separation Catalyst
blockBArTiMaEuSNeK	bartworks:bw.werkstoffblocks.01	43	Block of BArTiMaEuSNeK
blockBabbitAlloy	miscutils:blockBlockBabbitAlloy	0	Block of Babbit Alloy
blockBasalt	GalacticraftAmunRa:tile.baseBlockRock	1	Basalt
blockBasalt	gregtech:gt.blockstones	8	Basalt
blockBasalt	gregtech:gt.blockstones	9	Basalt Cobblestone
blockBasalt	gregtech:gt.blockstones	10	Mossy Basalt Cobblestone
blockBasalt	gregtech:gt.blockstones	11	Basalt Bricks
blockBasalt	gregtech:gt.blockstones	12	Cracked Basalt Bricks
blockBasalt	gregtech:gt.blockstones	13	Mossy Basalt Bricks
blockBasalt	gregtech:gt.blockstones	14	Chiseled Basalt
blockBasalt	gregtech:gt.blockstones	15	Smooth Basalt
blockBatteryAlloy	gregtech:gt.blockmetal1	7	Block of Battery Alloy
blockBeryllium	gregtech:gt.blockmetal1	8	Block of Beryllium
blockBismuth	gregtech:gt.blockmetal1	9	Block of Bismuth
blockBismuthBronze	gregtech:gt.blockmetal1	10	Block of Bismuth Bronze
blockBismutite	bartworks:bw.werkstoffblocks.01	1	Block of Bismutite
blockBlackBronze	gregtech:gt.blockmetal1	11	Block of Black Bronze
blockBlackDwarfMatter	gregtech:gt.blockmetal9	7	Block of Black Dwarf Matter
blockBlackMetal	miscutils:blockBlockBlackMetal	0	Block of Black Metal
blockBlackPlutonium	dreamcraft:tile.BlackPlutonium	0	Block of Black Plutonium
blockBlackSteel	gregtech:gt.blockmetal1	12	Block of Black Steel
blockBlackTitanium	miscutils:blockBlockBlackTitanium	0	Block of Black Titanium
blockBlaze	Botania:blazeBlock	0	Blaze Lamp
blockBlaze	gregtech:gt.blockgem3	5	Block of Blaze
blockBloodInfusedIron	BloodArsenal:blood_infused_iron_block	0	Blood Infused Iron Block
blockBloodSteel	miscutils:blockBlockBloodSteel	0	Block of Blood Steel
blockBlueAlloy	gregtech:gt.blockmetal1	13	Block of Blue Alloy
blockBlueSteel	gregtech:gt.blockmetal1	14	Block of Blue Steel
blockBlueTopaz	gregtech:gt.blockgem1	4	Block of Blue Topaz
blockBorosilicateGlass	bartworks:BW_GlasBlocks	0	Borosilicate Glass Block
blockBotaniaDragonstone	Botania:storage	4	Block of Dragonstone
blockBotmium	miscutils:blockBlockBotmium	0	Block of Botmium
blockBrass	gregtech:gt.blockmetal1	15	Block of Brass
blockBronze	IC2:blockMetal	2	Bronze Block
blockBronze	TConstruct:MetalBlock	4	Block of Bronze
blockBronze	Forestry:resourceStorage	3	Block of Bronze
blockBronze	gregtech:gt.blockmetal2	0	Block of Bronze
blockCactus	minecraft:cactus	0	Cactus
blockCaesium	gregtech:gt.blockmetal2	1	Block of Caesium
blockCalcium	bartworks:bw.werkstoffblocks.01	40	Block of Calcium
blockCalifornium	bartworks:bw.werkstoffblocks.01	39	Block of Californium
blockCallistoIce	dreamcraft:tile.CallistoColdIce	0	Callisto Cold Ice Block
blockCarpet	chisel:carpet_block	0	Carpet
blockCelestialTungsten	miscutils:blockBlockCelestialTungsten	0	Block of Celestial Tungsten
blockCerium	gregtech:gt.blockmetal2	2	Block of Cerium
