ore_name	slug	display_name	reg_name	name
apiaryUpgrade	7440d32226	Ocean Emulation Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32226
apiaryUpgrade	7440d32227	Open Sky Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32227
apiaryUpgrade	7440d32210	Plains Emulation Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32210
apiaryUpgrade	7440d32218	Pollen Scrubber Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32218
apiaryUpgrade	7440d32209	Production Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32209
apiaryUpgrade	7440d32222	Seal Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32222
apiaryUpgrade	7440d32229	Sieve Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32229
apiaryUpgrade	7440d32225	Territory Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32225
apiaryUpgrade	7440d32208	Upgraded Acceleration Upgrade x256	gregtech:gt.metaitem.03	gt.metaitem.03.32208
apiaryUpgrade	7440d32213	Winter Emulation Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32213
arditeRod	4632d11	Ardite Tool Rod	TConstruct:toolRod	toolpart.ToolRod.Ardite
barsAluminium	5411d0	Aluminium Bars	dreamcraft:item.AluminiumBars	item.AluminiumBars
barsChrome	5432d0	Chrome Bars	dreamcraft:item.ChromeBars	item.ChromeBars
barsConductiveIron	5504d0	Conductive Iron Bars	dreamcraft:item.ConductiveIronBars	item.ConductiveIronBars
barsElectricalSteel	5641d0	Electrical Steel Bars	dreamcraft:item.ElectricalSteelBars	item.ElectricalSteelBars
barsEnderium	5355d0	Enderium Bars	dreamcraft:item.EnderiumBars	item.EnderiumBars
barsEnderiumBase	5725d0	Enderium Base Bars	dreamcraft:item.EnderiumBaseBars	item.EnderiumBaseBars
barsEnergeticAlloy	5433d0	Energetic Alloy Bars	dreamcraft:item.EnergeticAlloyBars	item.EnergeticAlloyBars
barsIridium	5379d0	Iridium Bars	dreamcraft:item.IridiumBars	item.IridiumBars
barsIron	1166d0	Dark Steel Bars	EnderIO:blockDarkIronBars	tile.blockDarkIronBars
barsIron	1168d0	End Steel Bars	EnderIO:blockEndSteelBars	tile.blockEndSteelBars
barsIron	101d0	Iron Bars	minecraft:iron_bars	tile.fenceIron
barsIron	1167d0	Soularium Bars	EnderIO:blockSoulariumBars	tile.blockSoulariumBars
barsNeutronium	5762d0	Neutronium Bars	dreamcraft:item.NeutroniumBars	item.NeutroniumBars
barsOsmium	5382d0	Osmium Bars	dreamcraft:item.OsmiumBars	item.OsmiumBars
barsPulsatingIron	5738d0	Pulsating Iron Bars	dreamcraft:item.PulsatingIronBars	item.PulsatingIronBars
barsRedstoneAlloy	5860d0	Redstone Alloy Bars	dreamcraft:item.RedstoneAlloyBars	item.RedstoneAlloyBars
barsSoularium	1167d0	Soularium Bars	EnderIO:blockSoulariumBars	tile.blockSoulariumBars
barsSoularium	5810d0	Soularium Bars	dreamcraft:item.SoulariumBars	item.SoulariumBars
barsStainlessSteel	5456d0	Stainless Steel Bars	dreamcraft:item.StainlessSteelBars	item.StainlessSteelBars
barsSteel	5662d0	Steel Bars	dreamcraft:item.SteelBars	item.SteelBars
barsTitanium	5750d0	Titanium Bars	dreamcraft:item.TitaniumBars	item.TitaniumBars
barsTungsten	5362d0	Tungsten Bars	dreamcraft:item.TungstenBars	item.TungstenBars
barsTungstenSteel	5480d0	Tungstensteel Bars	dreamcraft:item.TungstenSteelBars	item.TungstenSteelBars
basalt	2459d8	Basalt	gregtech:gt.blockstones	gt.blockstones.8
basalt	2459d11	Basalt Bricks	gregtech:gt.blockstones	gt.blockstones.11
basalt	2459d9	Basalt Cobblestone	gregtech:gt.blockstones	gt.blockstones.9
basalt	2459d14	Chiseled Basalt	gregtech:gt.blockstones	gt.blockstones.14
basalt	2459d12	Cracked Basalt Bricks	gregtech:gt.blockstones	gt.blockstones.12
basalt	2459d13	Mossy Basalt Bricks	gregtech:gt.blockstones	gt.blockstones.13
basalt	2459d10	Mossy Basalt Cobblestone	gregtech:gt.blockstones	gt.blockstones.10
basalt	2459d15	Smooth Basalt	gregtech:gt.blockstones	gt.blockstones.15
batteryAdvanced	4188d0	Energy Crystal	IC2:itemBatCrystal	ic2.itemBatCrystal
batteryAdvanced	4188d1	Energy Crystal	IC2:itemBatCrystal	ic2.itemBatCrystal
batteryAdvanced	4188d26	Energy Crystal	IC2:itemBatCrystal	ic2.itemBatCrystal
batteryBasic	4185d0	RE-Battery	IC2:itemBatREDischarged	ic2.itemBatREDischarged
batteryBasic	4186d1	RE-Battery	IC2:itemBatRE	ic2.itemBatRE
batteryData	4189d1	Lapotron Crystal	IC2:itemBatLamaCrystal	ic2.itemBatLamaCrystal
batteryData	4189d26	Lapotron Crystal	IC2:itemBatLamaCrystal	ic2.itemBatLamaCrystal
batteryElite	7437d32597	Lapotronic Energy Orb	gregtech:gt.metaitem.01	gt.metaitem.01.32597
batteryERV	7437d32146	Mega Ultimate Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32146
batteryEV	7437d32540	Small Sunnarium Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32540
batteryGood	4187d0	Advanced RE-Battery	IC2:itemAdvBat	ic2.itemAdvBat
batteryGood	4187d1	Advanced RE-Battery	IC2:itemAdvBat	ic2.itemAdvBat
batteryGood	4187d26	Advanced RE-Battery	IC2:itemAdvBat	ic2.itemAdvBat
batteryHV	7437d32530	Large Acid Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32530
batteryHV	7437d32537	Large Cadmium Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32537
batteryHV	7437d32538	Large Lithium Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32538
batteryHV	7437d32531	Large Mercury Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32531
batteryHV	7437d32539	Large Sodium Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32539
batteryIV	7437d32545	Medium Sunnarium Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32545
batteryLuV	7437d32550	Large Sunnarium Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32550
batteryLV	7437d32510	Small Acid Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32510
batteryLV	7437d32517	Small Cadmium Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32517
batteryLV	7437d32518	Small Lithium Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32518
batteryLV	7437d32519	Small Sodium Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32519
batteryMaster	7437d32599	Lapotronic Energy Orb Cluster	gregtech:gt.metaitem.01	gt.metaitem.01.32599
batteryMAX	7437d32145	Insanely Ultimate Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32145
batteryMV	7437d32520	Medium Acid Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32520
batteryMV	7437d32527	Medium Cadmium Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32527
batteryMV	7437d32528	Medium Lithium Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32528
batteryMV	7437d32521	Medium Mercury Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32521
batteryMV	7437d32529	Medium Sodium Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32529
batterySuperconductor	7437d32737	Energy Cluster	gregtech:gt.metaitem.01	gt.metaitem.01.32737
batteryUEV	7437d32575	Medium Neutronium Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32575
batteryUHV	7437d32570	Small Neutronium Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32570
batteryUIV	7437d32580	Large Neutronium Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32580
batteryUltimate	7437d32736	Energy Module	gregtech:gt.metaitem.01	gt.metaitem.01.32736
batteryULV	7437d32499	Tantalum Capacitor	gregtech:gt.metaitem.01	gt.metaitem.01.32499
batteryUMV	7437d32585	Medium Infinity Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32585
batteryUMV	7437d32609	Really Ultimate Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32609
batteryUV	7437d32560	Large Naquadria Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32560
batteryUV	7437d32605	Ultimate Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32605
batteryUXV	7437d32594	Extremely Ultimate Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32594
batteryUXV	7437d32590	Large Infinity Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32590
batteryZPM	7437d32555	Medium Naquadria Battery	gregtech:gt.metaitem.01	gt.metaitem.01.32555
batteryZPM	7437d32598	Zero Point Module	gregtech:gt.metaitem.01	gt.metaitem.01.32598
bedWood	3115d0	Black Bed	etfuturum:black_bed	tile.etfuturum.black_bed
bedWood	3112d0	Blue Bed	etfuturum:blue_bed	tile.etfuturum.blue_bed
bedWood	3113d0	Brown Bed	etfuturum:brown_bed	tile.etfuturum.brown_bed
bedWood	3110d0	Cyan Bed	etfuturum:cyan_bed	tile.etfuturum.cyan_bed
bedWood	3108d0	Gray Bed	etfuturum:gray_bed	tile.etfuturum.gray_bed
bedWood	3114d0	Green Bed	etfuturum:green_bed	tile.etfuturum.green_bed
bedWood	3104d0	Light Blue Bed	etfuturum:light_blue_bed	tile.etfuturum.light_blue_bed
bedWood	3109d0	Light Gray Bed	etfuturum:light_gray_bed	tile.etfuturum.light_gray_bed
bedWood	3106d0	Lime Bed	etfuturum:lime_bed	tile.etfuturum.lime_bed
bedWood	3103d0	Magenta Bed	etfuturum:magenta_bed	tile.etfuturum.magenta_bed
bedWood	3102d0	Orange Bed	etfuturum:orange_bed	tile.etfuturum.orange_bed
bedWood	3107d0	Pink Bed	etfuturum:pink_bed	tile.etfuturum.pink_bed
bedWood	3111d0	Purple Bed	etfuturum:purple_bed	tile.etfuturum.purple_bed
bedWood	355d0	Red Bed	minecraft:bed	item.bed
bedWood	3101d0	White Bed	etfuturum:white_bed	tile.etfuturum.white_bed
bedWood	3105d0	Yellow Bed	etfuturum:yellow_bed	tile.etfuturum.yellow_bed
beeComb	6301d10	Alcoholic Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d76	Almandine Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d63	Aluminium Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d23	Amber Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d13	Amber Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d84	Americium Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d4	Apatite Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d122	Arcane Shard Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d133	Argon Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d61	Arsenic Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d5	Ash Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d28	Astral Silver Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d163	Awakened Draconium Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d115	Barnarda Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d0	Barren Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d62	Bauxite Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d151	Bedrockium Comb	gregtech:gt.comb	item.gt.comb
beeComb	6631d10	Black Colored Comb	gendustry:HoneyComb	gendustry.honeycomb.black
beeComb	10928d100	Black Plutonium Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d47	Black Tinted Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	6301d29	Blaze Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d160	Blizz Comb	gregtech:gt.comb	item.gt.comb
beeComb	6631d14	Blue Colored Comb	gendustry:HoneyComb	gendustry.honeycomb.blue
beeComb	6301d45	Blue Tinted Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	6301d68	Blutonium Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	6301d2	Bone Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	6301d26	Brimstone Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	6631d13	Brown Colored Comb	gendustry:HoneyComb	gendustry.honeycomb.brown
beeComb	6301d49	Brown Tinted Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d156	Caelestis Blue Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d155	Caelestis Green Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d154	Caelestis Red Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d30	Caffeinated Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d95	Callisto Ice Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d113	Centauri Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d34	Certus Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d64	Certus Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d67	Chrome Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d21	Clay Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d1	Coal Comb	gregtech:gt.comb	item.gt.comb
beeComb	5026d1	Cocoa Comb	Forestry:beeCombs	item.for.beeCombs.cocoa
beeComb	10928d13	Conductive Iron Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d6	Coolant Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d50	Copper Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d17	Copper Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d117	Cosmic Neutronium Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d131	Cryolite Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d10	Cryotheum Comb	gregtech:gt.comb	item.gt.comb
beeComb	6631d16	Cyan Colored Comb	gendustry:HoneyComb	gendustry.honeycomb.cyan
beeComb	6301d51	Cyan Tinted Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	6301d67	Cyanite Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d81	D-o-b Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d6	Damp Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d17	Dark Steel Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d62	Decomposed Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d93	Desh Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d43	Diamond Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d42	Diamond Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d31	Divided Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d162	Draconium Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d124	Dragon Essence Comb	gregtech:gt.comb	item.gt.comb
beeComb	5026d5	Dripping Comb	Forestry:beeCombs	item.for.beeCombs.dripping
beeComb	6301d63	Dusty Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d121	Ectoplasma Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d16	Electrical Steel Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d75	Electrotine Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d45	Emerald Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d39	Emerald Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d120	End Dust Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d153	Ender Shard Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d20	Enderium Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d125	Enderman Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d127	Endium Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d15	Energetic Alloy Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d12	Energetic Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d7	Energy Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d158	Essentia Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d167	Europium Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d130	Fire Essence Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d48	Firestone Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d35	Fluix Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d150	Fluorine Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d4	Fossilised Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	5026d4	Frozen Comb	Forestry:beeCombs	item.for.beeCombs.frozen
beeComb	6301d8	Fruity Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	6301d23	Fungal Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d60	Gallium Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d31	Glacial Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	6301d60	Glowing Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d58	Gold Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d16	Golden Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	6631d18	Gray Colored Comb	gendustry:HoneyComb	gendustry.honeycomb.gray
beeComb	6301d53	Gray Tinted Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	6631d12	Green Colored Comb	gendustry:HoneyComb	gendustry.honeycomb.green
beeComb	6301d46	Green Tinted Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d47	Grossular Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d111	Haumea Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d132	Helium Comb	gregtech:gt.comb	item.gt.comb
beeComb	5026d0	Honey Comb	Forestry:beeCombs	item.for.beeCombs.honey
beeComb	10928d88	Hydra Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d139	Hydrogen Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d159	Indium Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d118	Infinity Catalyst Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d119	Infinity Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d144	Infused Air Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d147	Infused Aqua Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d165	Infused Gold Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d146	Infused Ignis Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d148	Infused Ordo Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d149	Infused Perditio Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d145	Infused Terra Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d70	Iridium Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d53	Iron Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d15	Iron Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	5026d9	Irradiated Comb	Forestry:beeCombs	item.for.beeCombs.irradiated
beeComb	10928d106	Jupiter Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d161	Kevlar Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d136	Krypton Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d38	Lapis Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d38	Lapis Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d8	Lapotron Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d25	Latex Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d52	Lead Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d33	Leaden Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d94	Ledox Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d87	Lich Comb	gregtech:gt.comb	item.gt.comb
beeComb	6631d22	Light Blue Colored Comb	gendustry:HoneyComb	gendustry.honeycomb.lightblue
beeComb	6301d54	Light Blue Tinted Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	6631d0	Light Gray Colored Comb	gendustry:HoneyComb	Light Gray Colored Comb
beeComb	6631d17	Light Gray Colored Comb	gendustry:HoneyComb	gendustry.honeycomb.silver
beeComb	6301d58	Light Gray Tinted Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d0	Lignite Comb	gregtech:gt.comb	item.gt.comb
beeComb	6631d20	Lime Colored Comb	gendustry:HoneyComb	gendustry.honeycomb.lime
beeComb	6301d56	Lime Green Tinted Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d73	Lithium Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d83	Lutetium Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d168	Machinist Comb	gregtech:gt.comb	item.gt.comb
beeComb	6631d23	Magenta Colored Comb	gendustry:HoneyComb	gendustry.honeycomb.magenta
beeComb	6301d57	Magenta Tinted Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d65	Magnesium Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d112	Makemake Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d64	Manganese Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d105	Mars Comb	gregtech:gt.comb	item.gt.comb
beeComb	5026d16	Mellow Comb	Forestry:beeCombs	item.for.beeCombs.mellow
beeComb	10928d102	Mercury Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d92	Meteoric Iron Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d141	Mica Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d7	Milky Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d27	Mithril Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d71	Molybdenum Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d104	Moon Comb	gregtech:gt.comb	item.gt.comb
beeComb	5026d15	Mossy Comb	Forestry:beeCombs	item.for.beeCombs.mossy
beeComb	6301d28	Mucous Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	6596d0	Mundane Comb	MagicBees:comb	item.comb
beeComb	5026d8	Mysterious Comb	Forestry:beeCombs	item.for.beeCombs.mysterious
beeComb	10928d99	Mysterious Crystal Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d96	Mytryl Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d86	Naga Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d79	Naquadah Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d80	Naquadria Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d166	Neodymium Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d135	Neon Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d109	Neptune Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d152	Nether Shard Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d32	Nether Star Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d169	Netherite Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d85	Neutronium Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d55	Nickel Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d59	Nickel Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d137	Nitrogen Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d3	Oil Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d3	Oily Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	6301d22	Old Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d44	Olivine Comb	gregtech:gt.comb	item.gt.comb
beeComb	6631d24	Orange Colored Comb	gendustry:HoneyComb	gendustry.honeycomb.orange
beeComb	6301d50	Orange Tinted Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d98	Oriharukon Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d72	Osmium Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d138	Oxygen Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d164	Palladium Comb	gregtech:gt.comb	item.gt.comb
beeComb	5026d7	Parched Comb	Forestry:beeCombs	item.for.beeCombs.parched
beeComb	6301d5	Petroleum Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d140	Phosphorus Comb	gregtech:gt.comb	item.gt.comb
beeComb	6631d19	Pink Colored Comb	gendustry:HoneyComb	gendustry.honeycomb.pink
beeComb	6301d55	Pink Tinted Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d69	Platinum Comb	gregtech:gt.comb	item.gt.comb
beeComb	6301d37	Platinum Comb	ExtraBees:honeyComb	item.honeyComb
beeComb	10928d110	Pluto Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d78	Plutonium Comb	gregtech:gt.comb	item.gt.comb
beeComb	5026d10	Powdery Comb	Forestry:beeCombs	item.for.beeCombs.powdery
beeComb	10928d170	Prismatic Comb	gregtech:gt.comb	item.gt.comb
beeComb	10928d18	Pulsating Iron Comb	gregtech:gt.comb	item.gt.comb
beeComb	6631d15	Purple Colored Comb	gendustry:HoneyComb	gendustry.honeycomb.purple
beeComb	6301d52	Purple Tinted Comb	ExtraBees:honeyComb	item.honeyComb
